city_id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Scarborough,54.28,-0.4,54.0,80,98,5.01,GB,1603123201
1,Mataura,-46.19,168.86,48.99,81,59,15.99,NZ,1603123426
2,Nome,64.5,-165.41,39.2,93,90,5.82,US,1603123426
3,Hirado,33.36,129.55,66.0,68,29,11.99,JP,1603123426
4,Tasiilaq,65.61,-37.64,32.0,97,40,8.05,GL,1603123426
5,Hong Kong,22.29,114.16,75.0,57,19,8.01,HK,1603123280
6,Saldanha,-33.01,17.94,66.2,48,95,10.29,ZA,1603123427
7,Chokurdakh,70.63,147.92,16.59,98,99,6.89,RU,1603123427
8,Tuktoyaktuk,69.45,-133.04,20.59,97,97,4.43,CA,1603123317
9,Barrow,71.29,-156.79,21.2,85,90,10.29,US,1603123427
10,Vejprty,50.49,13.03,44.01,92,85,7.0,CZ,1603123427
11,Poso,-1.4,120.75,82.99,62,100,7.11,ID,1603123427
12,Roblin,51.23,-101.36,22.89,89,0,6.38,CA,1603123427
13,Port-Cartier,50.03,-66.87,46.0,76,100,5.99,CA,1603123427
14,Bambous Virieux,-20.34,57.76,75.2,73,20,10.29,MU,1603123428
15,Ushuaia,-54.8,-68.3,37.4,93,90,35.57,AR,1603123226
16,Saint-Philippe,-21.36,55.77,75.2,69,31,20.8,RE,1603123428
17,Manchester,53.48,-2.24,55.99,71,100,4.7,GB,1603123413
18,Srednekolymsk,67.45,153.68,17.22,96,85,3.89,RU,1603123428
19,Hobart,-42.88,147.33,46.4,93,49,5.82,AU,1603123225
20,Tucumcari,35.17,-103.72,41.0,80,20,4.7,US,1603123360
21,George Town,5.41,100.34,86.0,70,20,1.12,MY,1603123250
22,Grindavik,63.84,-22.43,42.8,70,40,9.17,IS,1603123428
23,Busselton,-33.65,115.33,60.01,62,3,11.05,AU,1603123428
24,Fort Nelson,58.81,-122.7,18.01,86,33,1.57,CA,1603123429
25,Lebu,-37.62,-73.65,55.71,64,3,7.94,CL,1603123429
26,Chui,-33.7,-53.46,80.42,54,93,5.84,UY,1603123429
27,Upernavik,72.79,-56.15,38.64,72,84,28.81,GL,1603123429
28,Ketchikan,55.34,-131.65,42.8,100,90,4.7,US,1603123429
29,Elliot,-31.33,27.85,74.41,24,81,8.1,ZA,1603123429
30,Hilo,19.73,-155.09,73.4,83,90,3.36,US,1603123237
31,Tarbagatay,51.48,107.36,33.8,64,75,20.13,RU,1603123429
32,Bethel,41.37,-73.41,61.0,82,90,6.93,US,1603123204
33,Tocopilla,-22.09,-70.2,67.19,48,8,5.32,CL,1603123430
34,Lompoc,34.64,-120.46,53.6,100,90,5.84,US,1603123192
35,West Odessa,31.84,-102.5,46.4,81,90,6.93,US,1603123268
36,Sheridan,44.83,-106.92,32.0,92,90,6.58,US,1603123366
37,Rikitea,-23.12,-134.97,73.6,79,0,14.63,PF,1603123238
38,Port Alfred,-33.59,26.89,68.4,80,72,15.66,ZA,1603123430
39,Ancud,-41.87,-73.82,57.0,53,40,9.17,CL,1603123430
40,Yumen,40.28,97.2,47.62,44,21,18.19,CN,1603123430
41,Sinnamary,5.38,-52.95,88.43,58,5,11.61,GF,1603123430
42,Vaini,-21.2,-175.2,69.8,77,20,9.17,TO,1603123430
43,Honningsvåg,70.98,25.97,35.6,74,75,6.93,NO,1603123351
44,Iqaluit,63.75,-68.51,33.01,74,27,4.0,CA,1603123431
45,Kapaa,22.08,-159.32,75.0,59,2,1.99,US,1603123431
46,Vestmanna,62.16,-7.17,44.6,70,69,16.11,FO,1603123431
47,Davila,18.47,120.58,82.4,78,75,9.17,PH,1603123431
48,San Quintín,30.48,-115.95,75.22,60,0,13.69,MX,1603123431
49,Bluff,-46.6,168.33,48.99,81,79,15.99,NZ,1603123431
50,Nikolskoye,59.7,30.79,36.0,95,75,6.71,RU,1603123431
51,Carnarvon,-24.87,113.63,68.0,77,75,18.34,AU,1603123431
52,Castro,-24.79,-50.01,74.19,70,13,5.79,BR,1603123432
53,Klaksvík,62.23,-6.59,44.6,70,72,16.11,FO,1603123432
54,Riyadh,24.69,46.72,84.2,14,0,9.17,SA,1603123202
55,Cayenne,4.93,-52.33,89.6,62,17,10.29,GF,1603123432
56,Mānsa,29.98,75.38,72.72,19,0,2.17,IN,1603123432
57,Fortuna,40.6,-124.16,55.0,100,90,5.82,US,1603123411
58,Cidreira,-30.18,-50.21,73.35,68,0,13.11,BR,1603123433
59,Nyurba,63.28,118.33,23.41,97,96,8.25,RU,1603123433
60,New Norfolk,-42.78,147.06,43.0,79,48,2.46,AU,1603123433
61,Cabo San Lucas,22.89,-109.91,84.99,74,5,11.41,MX,1603123200
62,Payo,-3.75,103.64,74.17,94,95,2.3,ID,1603123434
63,Saskylakh,71.92,114.08,20.44,97,84,4.94,RU,1603123434
64,Boyabat,41.47,34.77,58.05,64,84,3.0,TR,1603123434
65,Ust-Tsilma,65.44,52.15,28.8,96,98,5.75,RU,1603123434
66,Ambunti,-4.24,142.84,73.35,92,100,1.23,PG,1603123434
67,Wanaka,-44.7,169.15,44.01,80,38,1.01,NZ,1603123346
68,Bredasdorp,-34.53,20.04,66.2,55,40,17.22,ZA,1603123435
69,Taltal,-25.4,-70.48,63.07,58,22,5.1,CL,1603123435
70,Liverpool,53.41,-2.98,55.4,76,20,13.87,GB,1603123216
71,Jeffersontown,38.19,-85.56,59.0,93,90,8.05,US,1603123436
72,Tokur,53.13,132.9,10.11,94,0,3.38,RU,1603123436
73,Yangambi,0.81,24.43,78.85,80,100,2.24,CD,1603123436
74,Olpād,21.33,72.75,84.2,89,20,8.86,IN,1603123436
75,Evensk,61.95,159.23,35.56,95,100,10.54,RU,1603123436
76,Curuçá,-0.73,-47.85,91.31,48,65,11.77,BR,1603123436
77,Nānākuli,21.39,-158.15,75.2,88,75,3.36,US,1603123436
78,Norman Wells,65.28,-126.83,14.67,89,13,5.28,CA,1603123436
79,Porto Santo,33.07,-16.34,73.4,60,20,8.05,PT,1603123370
80,Cockburn Town,21.46,-71.14,81.84,75,80,12.48,TC,1603123437
81,Khatanga,71.97,102.5,9.59,94,47,4.97,RU,1603123437
82,Starokucherganovka,46.32,47.96,59.0,47,85,6.2,RU,1603123437
83,Yellowknife,62.46,-114.35,21.99,96,98,5.01,CA,1603123437
84,Kavieng,-2.57,150.8,82.27,71,26,2.8,PG,1603123437
85,Punta Arenas,-53.15,-70.92,42.8,61,40,32.21,CL,1603123168
86,Longyearbyen,78.22,15.64,26.6,79,75,10.29,SJ,1603123362
87,Santa Cruz Cabrália,-16.28,-39.02,80.6,61,40,11.41,BR,1603123437
88,Maniitsoq,65.42,-52.9,36.97,93,100,35.1,GL,1603123437
89,Arraial do Cabo,-22.97,-42.03,77.0,65,40,24.16,BR,1603123206
90,Pevek,69.7,170.31,25.52,94,99,14.34,RU,1603123438
91,Albany,42.6,-73.97,61.0,69,78,6.38,US,1603123206
92,Cwmbran,51.65,-3.02,55.0,74,100,1.01,GB,1603123438
93,Pacific Grove,36.62,-121.92,53.6,100,90,3.36,US,1603123206
94,Camopi,3.17,-52.32,97.52,32,36,4.99,GF,1603123438
95,Camacha,33.08,-16.33,73.4,60,20,8.05,PT,1603123354
96,Unhel,23.33,75.57,79.65,66,32,2.51,IN,1603123438
97,Yerofey Pavlovich,53.97,121.97,26.47,97,100,2.93,RU,1603123247
98,Kupang,-10.17,123.58,79.07,77,27,7.25,ID,1603123438
99,Dikson,73.51,80.55,24.13,95,95,19.82,RU,1603123338
100,Sitka,57.05,-135.33,42.8,87,90,11.41,US,1603123438
101,São Filipe,14.9,-24.5,81.95,75,7,8.75,CV,1603123327
102,Hermanus,-34.42,19.23,61.0,67,63,5.99,ZA,1603123439
103,The Valley,18.22,-63.06,86.0,73,100,4.0,AI,1603123439
104,Butaritari,3.07,172.79,81.72,73,100,12.03,KI,1603123439
105,Ribeira Grande,38.52,-28.7,59.0,82,75,20.8,PT,1603123439
106,Fairbanks,64.84,-147.72,19.4,85,75,1.3,US,1603123232
